Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL190132,,None,376.51,0,2.93,27,CN1CCN(CCCNc2cc3nc(N)c(-c4ccccc4)cc3cn2)CC1,IC50,'=',2900,nM,5.54,,,UO_0000065,14.71,0.27,2.61,7.88,0,CHEMBL829083,Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by human VEGFR 2 in DELFIA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145157,1,Scientific Literature,J Med Chem,2005,None,,,,2.9
CHEMBL191389,,None,544.53,2,5.57,34,CN1CCN(CCCNc2cc3nc(NC(=O)NC(C)(C)C)c(-c4c(Cl)cccc4Cl)cc3cn2)CC1,IC50,'=',14,nM,7.85,,,UO_0000065,14.42,0.29,2.28,9.19,0,CHEMBL829083,Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by human VEGFR 2 in DELFIA assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145157,1,Scientific Literature,J Med Chem,2005,None,,,,0.014
CHEMBL185592,,None,486.64,1,5.34,C2,O=C1Nc2ccccc2S/C1=C\c1c[nH]c2c(C(=O)N3CCC(N4CCCCC4)CC3)cccc12,IC50,'=',170,nM,6.77,,,UO_0000065,13.91,0.26,1.43,9.89,0,CHEMBL832932,Inhibition of Vascular endothelial growth factor receptor 2(KDR) with DTT (dithiothreitol),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1138015,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,0.17
CHEMBL183051,,None,373.48,0,4.93,21,Cc1cccc(N/C(S)=N\c2ccc(-c3cccc4c3CNC4=O)cc2)c1,IC50,'=',10000,nM,5,,,UO_0000065,13.39,0.25,0.07,9.35,0,CHEMBL829417,Inhibition of Vascular endothelial growth factor receptor 2 (KDR),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137187,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,10
CHEMBL362030,,None,309.32,0,3.25,7,COc1ccc(-c2cc3c(NC(=O)C4CC4)ncnc3o2)cc1,IC50,'=',3550,nM,5.45,,,UO_0000065,17.62,0.32,2.2,7.05,0,CHEMBL833502,Inhibition of Vascular endothelial growth factor receptor 2 kinase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137112,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,3.55
CHEMBL181959,,None,337.38,0,4.03,8,COc1ccc(-c2cc3c(NC(=O)C4CCCC4)ncnc3o2)cc1,IC50,'=',1020,nM,5.99,,,UO_0000065,17.76,0.33,1.96,7.76,0,CHEMBL833502,Inhibition of Vascular endothelial growth factor receptor 2 kinase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137112,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,1.02
CHEMBL2017301,,None,338.36,0,2.81,6,C#CCNC(=O)Nc1cccc(COc2ccc(C(=O)OC)cc2)c1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL2019278,Inhibition of human recombinant VEGFR2 expressed in insect cells using Ulight-CAGAGAIETDKEYYTVKD as substrate at 1 uM after 60 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2016469,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,
CHEMBL3908050,,None,509.85,2,6.07,BDBM235392,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1F,IC50,'=',5.4,nM,8.27,,410027,UO_0000065,16.22,0.32,2.2,7.86,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3903645,,None,587.57,2,6.64,BDBM235437,CC1CN(c2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc(C(F)(F)F)c2)CC(C)O1,IC50,'=',6.2,nM,8.21,,410072,UO_0000065,13.97,0.27,1.57,7.83,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3986456,,None,485.47,1,5.82,BDBM235461,Cc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1NC(=O)Nc1ccc(F)c(C(C)(F)F)c1,IC50,'=',13.3,nM,7.88,,410096,UO_0000065,16.22,0.31,2.06,7.48,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3920945,,None,583.62,2,6.09,BDBM235468,Cc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1NC(=O)Nc1ccc(NC2CCN(C)CC2)c(C(F)(F)F)c1,IC50,'=',13.3,nM,7.88,,410103,UO_0000065,13.5,0.26,1.79,6.54,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3923206,,None,489.43,1,5.73,BDBM235482,Cc1cc(NC(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc(Oc2cc(NC(=O)C3CC3)ncn2)c1,IC50,'=',192,nM,6.72,,410117,UO_0000065,13.72,0.26,0.99,6.38,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3959805,,None,490.87,1,6.54,BDBM235527,O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,IC50,'=',10.2,nM,7.99,,410162,UO_0000065,16.28,0.32,1.45,8.65,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3959327,,None,551.5,2,7.09,BDBM235549,O=C(Nc1cc(-c2ccncc2)cc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1,IC50,'=',8,nM,8.1,,410184,UO_0000065,14.68,0.28,1.01,7.69,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3985563,,None,543.48,2,6.15,BDBM235553,C=CC(=O)Nc1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)cc(C(F)(F)F)c1,IC50,'=',11.6,nM,7.94,,410188,UO_0000065,14.6,0.28,1.79,6.53,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3983575,,None,559.52,2,5.86,BDBM235579,O=C(Nc1cc(N2CCOCC2)cc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1,IC50,'=',10.7,nM,7.97,,410214,UO_0000065,14.25,0.27,2.11,7.6,0,CHEMBL3888586,Inhibition Assay: [Experimental method]: Use Lance@Ultra Ulight™-TK assay kit from PerKinElmer to evaluate the inhibitory activity of compounds at KDR kinase. [Instrument]: PerKinElmer's ENVISION plate reader. [Materials]: Optiplate-384 well plate (PerKinElmer),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3974900,,None,404.5,1,5.5,BDBM234599,CCc1cccc(NC(=O)Nc2csc(-c3cc4ccccc4n3C(N)=O)c2)c1,IC50,'=',60,nM,7.22,,409012,UO_0000065,17.85,0.34,1.72,8.1,0,CHEMBL3888558,Kinase Assay: Biochemical KDR kinase assays were performed in 96 well microtiter plates that were coated overnight with 75 μg/well of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL276711,SEMAXANIB,3,238.29,0,3.12,BDBM4810,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,IC50,'=',10600,nM,4.97,,423217,UO_0000065,20.88,0.38,1.85,11.08,1,CHEMBL3887187,Inhibition Assay: Inhibition of various kinase enzyme.,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886207,37,BindingDB Patent Bioactivity Data,,2016,None,,,,10600
CHEMBL3916527,,None,526.62,2,6.56,BDBM250513,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3ccc(OCCC(C)(C)N)c4[nH]nc(N)c34)c3ccccc23)c1,IC50,'=',48.3,nM,7.32,,436753,UO_0000065,13.89,0.26,0.76,5.58,0,CHEMBL3889148,Enzyme-Linked Immunosorbent Assay: Experimental Procedures(1) Kinase reaction substrate Poly(Glu,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3928457,,None,367.41,0,4.19,BDBM201229,Nc1n[nH]c2cccc(C#Cc3cccc(NC(=O)Nc4ccccc4)c3)c12,IC50,'=',20,nM,7.7,,357208,UO_0000065,20.95,0.38,3.51,8.03,0,CHEMBL3887846,PDGFRbeta: Automated FLIPR (Fluorometric Imaging Plate Reader) technology was used to screen for inhibitors of VEGF induced increases in intracellular calcium levels in fluorescent dye loaded endothelial cells. HUVEC (human umbilical vein endothelial cells) (Clonetics) were seeded in 384-well fibronectin coated black-walled plates overnight at 37° C./5% CO2. Cells were loaded with calcium indicator Fluo-4 for 45 minutes at 37° C. Cells were washed 2 times (Elx405,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3262864,,None,534.55,1,3.7,11r,COc1cc(/C=N/NC(=O)Nc2ccc(Oc3ccnc(-c4nncn4CCN(C)C)c3)c(F)c2)ccc1O,Inhibition,'=',33.2,%,,,,UO_0000187,,,,,0,CHEMBL3271574,Inhibition of VEGFR-2 (unknown origin) at 10 uM after 20 mins by HTRF method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259649,1,Scientific Literature,Eur J Med Chem,2014,None,,,,33.2
CHEMBL3977676,,None,432.59,1,5.45,BDBM236907,CSc1ncc2c(n1)CCN(c1cc(C)cc(C(=O)Nc3cccc(C(C)C)c3)c1)C2,IC50,'>',1000,nM,,,412726,UO_0000065,,,,,0,CHEMBL3888724,VEGFR2 Kinase Assay: Biochemical KDR kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg/well of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3702665,,None,398.39,0,4.31,BDBM139605,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(N2CCc3ncncc3C2)c1,IC50,'=',19,nM,7.72,,412731,UO_0000065,19.38,0.36,3.41,13.29,1,CHEMBL3888724,VEGFR2 Kinase Assay: Biochemical KDR kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg/well of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3985794,,None,445.47,0,4.43,BDBM236909,CSc1ncc2c(n1)CCN(c1cncc(C(=O)Nc3cccc(C(F)(F)F)c3)c1)C2,IC50,'>',10000,nM,,,412736,UO_0000065,,,,,0,CHEMBL3888724,VEGFR2 Kinase Assay: Biochemical KDR kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg/well of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3644557,,None,472.59,0,4.13,BDBM139625,CC(C)c1cccc(NC(=O)c2cccc(N3CCc4c(cncc4C(=O)NCCCO)C3)c2)c1,IC50,'=',220,nM,6.66,,412751,UO_0000065,14.09,0.26,2.53,7.04,1,CHEMBL3888724,VEGFR2 Kinase Assay: Biochemical KDR kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg/well of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS),,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3642830,,None,518.5,2,5.99,BDBM106553,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1C(F)(F)F,IC50,'=',3000,nM,5.52,,225331,UO_0000065,10.65,0.2,-0.47,5.07,0,CHEMBL3705145,Inhibition Assay (KDR): Compounds may be screened for their ability to inhibit KDR using a standard coupled enzyme assay (Fox et al.,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL477772,PAZOPANIB,4,437.53,0,3.14,13,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,IC50,'=',30,nM,7.52,,,UO_0000065,17.19,0.33,4.38,6.32,0,CHEMBL981072,Inhibition of human recombinant VEGFR2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1155848,1,Scientific Literature,J Med Chem,2008,None,,,,30
CHEMBL2023486,,None,432.48,0,4.51,20,CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)n[nH]1,IC50,'=',4,nM,8.4,,,UO_0000065,19.42,0.36,3.89,8.54,0,CHEMBL2027406,Inhibition of KDR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2021798,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.004
CHEMBL2023118,,None,432.48,0,4.44,6,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)cn1,IC50,'=',67,nM,7.17,,,UO_0000065,16.59,0.31,2.73,8.2,0,CHEMBL2027406,Inhibition of KDR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2021798,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.067
CHEMBL2023484,,None,432.48,0,4.51,18,CCc1c[nH]nc1NC(=O)Cc1ccc(Oc2ccnc3cc(OC)ccc23)cc1OC,IC50,'=',1277,nM,5.89,,,UO_0000065,13.63,0.25,1.38,5.99,0,CHEMBL2027406,Inhibition of KDR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2021798,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,1.277
CHEMBL2023474,,None,420.44,0,4.57,8,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(F)ccc34)cc2OC)cn1,IC50,'=',4282,nM,5.37,,,UO_0000065,12.77,0.24,0.8,6.86,0,CHEMBL2027406,Inhibition of KDR,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2021798,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,4.282
CHEMBL196422,,None,496.95,1,6.74,47,CC(C)(C)NC(=O)c1ccc(-c2nnc(Nc3ccc(OC(F)(F)Cl)cc3)c3ccccc23)cc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,1,CHEMBL1006966,Inhibition of VEGFR2 by HTRF method,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1140880,1,Scientific Literature,Bioorg Med Chem,2009,None,,,,10
CHEMBL401930,,None,479.97,0,3.86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2031896,,None,526.57,2,5.79,11c,CCc1cc2c(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2cc1OC,Ki,'=',38,nM,7.42,,,UO_0000065,14.09,0.26,1.63,8.49,0,CHEMBL2032454,Inhibition of VEGFR2 by HTRF assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2029218,1,Scientific Literature,J Med Chem,2012,None,,,,38
CHEMBL2016896,,None,400.44,0,3.61,12,O=C(OCc1ccccc1)N1CCc2nc(-c3cc4ccccc4[nH]c3=O)[nH]c2C1,IC50,'=',600,nM,6.22,,,UO_0000065,15.54,0.28,2.61,6.83,0,CHEMBL2020676,Inhibition of recombinant VEGFR-2 kinase domain by homogeneous time-resolved fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2016553,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.6
CHEMBL2016899,,None,389.39,0,2.65,15,O=C(c1cccnc1)N1CCc2nc(-c3cc4c(F)cccc4[nH]c3=O)[nH]c2C1,IC50,'=',600,nM,6.22,,,UO_0000065,15.98,0.29,3.57,6.57,0,CHEMBL2020676,Inhibition of recombinant VEGFR-2 kinase domain by homogeneous time-resolved fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2016553,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.6
CHEMBL2016917,,None,391.48,0,2.29,33,O=C(CN1CCCCC1)N1CCc2nc(-c3cc4ccccc4[nH]c3=O)[nH]c2C1,IC50,'=',16,nM,7.8,,,UO_0000065,19.91,0.37,5.51,9.16,0,CHEMBL2020676,Inhibition of recombinant VEGFR-2 kinase domain by homogeneous time-resolved fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2016553,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,0.016
